n,rST1,dT1,rST2,dT2,rST4,dT4,rST8,dT8,rST16,dT16,rST32,dT32,rST64,dT64,rST128,dT128,rST256,dT256,rST512,dT512,rST1024,dT1024
8,147,15,116,22,141,26,149,31,150,39,166,42,214,53,249,71,327,121,636,179,1110,342
16,115,16,158,35,144,35,140,50,175,55,181,69,322,94,405,139,566,187,973,358,1939,629
32,157,34,190,70,194,72,225,101,264,119,300,149,432,178,615,207,959,337,1840,655,3505,1233
64,277,67,182,152,205,144,220,203,261,206,383,223,592,263,961,401,1668,687,3180,1252,6589,2454
128,214,180,316,357,369,314,373,342,439,334,668,369,1054,519,1783,767,3475,1375,6575,2574,12906,4870
128,256,189,304,359,311,310,322,415,413,340,621,345,984,488,1718,707,3344,1283,6239,2422,12645,4813
128,250,148,258,361,268,290,292,412,402,358,607,354,1012,412,1757,715,3306,1295,6315,2452,12874,4941

below are server res 1st
8,205,32,206,51,234,53,232,51,230,60,272,61,336,85,461,97,492,138,884,273,1431,474
16,271,56,303,73,292,74,338,76,330,90,371,107,431,124,515,158,803,261,1269,445,2239,740
32,384,79,394,128,421,132,440,139,467,125,491,162,558,208,805,295,1218,508,2065,827,3796,1471
64,357,117,396,203,382,243,389,231,435,214,491,283,755,389,1268,495,2024,815,3599,1375,7060,2641
128,321,184,497,374,455,401,479,411,631,466,899,540,1144,565,1919,804,3648,1516,6934,2692,13559,5069

8,231,28,207,57,259,57,245,52,226,54,315,80,398,80,397,93,465,139,837,235,1423,405
16,256,54,294,83,293,74,277,72,338,105,377,107,451,130,521,155,743,253,1370,415,2154,715
32,319,75,352,139,403,126,444,126,458,168,480,185,550,207,781,256,1271,434,1872,723,3776,1315
64,477,113,351,190,391,230,387,226,418,225,498,263,741,332,1144,415,1934,771,3491,1383,6941,2464
128,413,148,521,369,407,476,482,471,573,477,820,474,1154,524,1954,783,3647,1505,6752,2684,13278,4962

8,207,29,236,51,233,47,217,71,258,58,272,76,394,81
16,248,48,283,84,289,82,305,77,334,82,418,129,465,125
32,299,64,400,116,437,124,418,133,462,125,473,190,541,208
64,365,109,361,207,345,234,374,204,438,253,529,292,765,389
128,486,200,397,374,414,445,495,412,581,517,745,518,1206,551

//random results
128,399,188,480,420,458,416,560,454,620,441,873,487,1327,604

//new res


8,202,29,208,48,250,53,220,52,259,59,289,62,363,82
16,264,52,273,100,287,73,336,77,324,106,400,128,389,113
32,322,59,406,108,424,115,422,133,507,159,473,164,535,208
64,359,138,345,192,404,224,394,210,429,254,560,310,728,381
128,417,184,370,413,448,425,497,425,609,487,875,543,1134,509


8,202,27,238,49,224,56,230,51,220,59,272,59,299,76,425,98,451,132,828,255,1431,438
16,251,42,277,74,318,72,321,79,341,86,374,111,458,121,522,167,803,241,1312,433,2253,731
32,320,78,378,130,398,119,376,149,404,140,422,188,471,182,757,249,1152,423,2204,844,3801,1584
64,266,98,347,186,362,204,399,261,418,253,576,260,808,387,1363,550,2050,839,3796,1571,7175,2678
128,693,201,462,407,372,401,495,489,593,428,909,456,1224,575,1998,959,3970,1420,7132,2855,13827,6081

//another run
8,204,29,205,42,223,51,230,54,237,70,289,60,340,69,381,95,518,150,832,263,1429,472
16,248,52,293,61,295,70,284,106,324,79,396,111,448,121,512,147,769,281,1263,425,2323,767
32,317,79,370,121,384,118,383,129,389,148,459,153,514,201,791,299,1144,457,1941,773,4002,1472
64,399,102,365,221,360,195,386,227,396,273,517,270,770,372,1185,516,2016,826,3627,1560,7175,2838
128,430,184,433,408,408,396,462,435,596,498,869,473,1294,555,2085,822,3548,1552,6814,2615,13482,5221

//tests 1.20.1
8,205,30,209,49,222,51,250,59,233,60,265,57,309,75,397,94,451,144,852,244,1355,403


8,201,30,233,46,232,54,205,67,234,53,282,70,352,82,437,107,475,133,778,263,1405,440
//new rcv def test
8,26,30,27,49,32,48,26,57,37,59,48,69,75,76,95,85,170,136,473,243,1070,432
