nOld,nCommon,nNew,setupTime,resharingTime
8,8,0,287,358
8,8,1,298,388
8,8,1,287,374
8,8,1,278,391
8,7,1,290,362
8,6,2,280,426
8,8,2,304,434
16,16,0,806,862
16,16,1,853,933
16,16,1,810,917
16,15,1,838,895
16,15,1,839,945
16,12,4,832,945
16,16,4,849,1031
32,32,0,2743,3163
32,32,1,2751,3336
32,32,1,2785,3442
32,31,1,2735,3298
32,24,8,2823,3822
32,32,8,2829,4597
64,64,0,17975,24126
64,64,1,18046,23881
64,63,1,18695,23856
64,48,16,18947,28381
64,64,16,18301,35599
128,128,0,147121,186109
128,128,1,146701,191571
128,127,1,150155,192511
128,96,32,150664,227451




128,128,32,146724,283572
//0515

8,8,2,496,687
16,16,4,1012,1382
32,32,8,2813,4947
64,64,16,18573,36017
128,128,32,148318,295837
8,8,2,512,686
//new res
8,8,0,499,600
8,7,1,533,616
8,6,2,530,634
16,16,0,1005,1179
16,15,1,1064,1187
16,12,4,1026,1261
32,32,0,2999,3308
32,31,1,2877,3368
32,24,8,2816,3909
64,64,0,17861,23235
64,63,1,17905,23822
64,48,16,17942,27704
128,128,0,140432,180009
128,127,1,140864,182490
128,96,32,145122,219921
8,8,0,534,562
8,7,1,504,542
8,6,2,515,682
16,16,0,1065,1236
16,15,1,1036,1264
16,12,4,1027,1334
32,32,0,2858,3477
32,31,1,2742,3650
32,24,8,2782,3976
64,64,0,17862,22712
64,63,1,17643,23843
64,48,16,17828,27598
128,128,0,141262,180729
128,127,1,141685,182110
128,96,32,141236,214027
//new res

8,8,0,498,527
8,7,1,464,546
8,6,2,483,590
16,16,0,929,1059
16,15,1,978,1101
16,12,4,977,1225
32,32,0,2787,3064
32,31,1,2741,3063
32,24,8,2773,3642
64,64,0,18715,20871
64,63,1,18284,20855
64,48,16,18188,24997
128,128,0,144631,162691
128,127,1,144898,164790
128,96,32,145023,198621
8,8,0,525,497
8,7,1,483,596
8,6,2,482,572
16,16,0,945,989
16,15,1,1018,1039
16,12,4,1010,1139
32,32,0,2768,2912
32,31,1,2690,2959
32,24,8,2784,3486
64,64,0,17394,19528
64,63,1,17419,19756
64,48,16,17667,23985
128,128,0,140906,160922
128,127,1,140188,158070
128,96,32,140967,192532
8,8,0,507,546
8,7,1,505,594
8,6,2,503,549
16,16,0,982,1075
16,15,1,980,1076
16,12,4,942,1141
32,32,0,2710,3010
32,31,1,2850,3142
32,24,8,2832,3619
64,64,0,18362,20662
64,63,1,18253,20969
64,48,16,18216,24721
128,128,0,147229,166434
128,127,1,144998,166629
128,96,32,146151,201226
